item1,item2,value,class
企業永續目標,學經歷,0,組織文化與制度
變化性,學經歷,2,組織文化與制度
工學院,學經歷,2,科系專業
理學院,學經歷,0,科系專業
管理學院/商學院,學經歷,0,科系專業
社會學院,學經歷,0,科系專業
文學院,學經歷,0,科系專業
面試,學經歷,3,招募資訊
學經歷,學經歷,84,招募資訊
徵才,學經歷,2,招募資訊
實習,學經歷,4,招募資訊
工作,學經歷,14,招募資訊
離職,學經歷,2,招募資訊
新鮮人,學經歷,5,招募資訊
畢業,學經歷,6,招募資訊
證照,學經歷,0,招募資訊
招募人員,學經歷,0,招募資訊
正向,學經歷,176,情緒
負向,學經歷,92,情緒
成就感,徵才,0,成長價值
學習成長,徵才,6,成長價值
創新,徵才,0,成長價值
薪資,徵才,19,經濟報酬
福利,徵才,13,經濟報酬
管理制度,徵才,15,經濟報酬
工作氛圍,徵才,5,人際價值
同事互動,徵才,11,人際價值
主管風格,徵才,9,人際價值
工作地點,徵才,0,組織文化與制度
公司規模,徵才,2,組織文化與制度
工作環境,徵才,7,組織文化與制度
產業前景,徵才,0,組織文化與制度
多元性,徵才,0,組織文化與制度
企業社會責任,徵才,0,組織文化與制度
企業永續目標,徵才,0,組織文化與制度
變化性,徵才,4,組織文化與制度
工學院,徵才,0,科系專業
理學院,徵才,0,科系專業
管理學院/商學院,徵才,0,科系專業
社會學院,徵才,0,科系專業
文學院,徵才,0,科系專業
面試,徵才,2,招募資訊
學經歷,徵才,2,招募資訊
徵才,徵才,57,招募資訊
實習,徵才,4,招募資訊
工作,徵才,24,招募資訊
離職,徵才,4,招募資訊
新鮮人,徵才,3,招募資訊
畢業,徵才,0,招募資訊
證照,徵才,0,招募資訊
招募人員,徵才,1,招募資訊
正向,徵才,159,情緒
負向,徵才,77,情緒
成就感,實習,0,成長價值
學習成長,實習,22,成長價值
創新,實習,0,成長價值
薪資,實習,16,經濟報酬
福利,實習,22,經濟報酬
管理制度,實習,7,經濟報酬
工作氛圍,實習,14,人際價值
同事互動,實習,14,人際價值
主管風格,實習,28,人際價值
工作地點,實習,1,組織文化與制度
公司規模,實習,5,組織文化與制度
工作環境,實習,9,組織文化與制度
產業前景,實習,4,組織文化與制度
多元性,實習,0,組織文化與制度
企業社會責任,實習,0,組織文化與制度
企業永續目標,實習,0,組織文化與制度
變化性,實習,1,組織文化與制度
工學院,實習,0,科系專業
理學院,實習,0,科系專業
管理學院/商學院,實習,0,科系專業
社會學院,實習,0,科系專業
文學院,實習,0,科系專業
面試,實習,10,招募資訊
學經歷,實習,4,招募資訊
徵才,實習,4,招募資訊
實習,實習,163,招募資訊
工作,實習,46,招募資訊
離職,實習,2,招募資訊
新鮮人,實習,0,招募資訊
畢業,實習,0,招募資訊
證照,實習,0,招募資訊
招募人員,實習,2,招募資訊
正向,實習,292,情緒
負向,實習,102,情緒
成就感,工作,6,成長價值
學習成長,工作,95,成長價值
創新,工作,5,成長價值
薪資,工作,161,經濟報酬
福利,工作,85,經濟報酬
管理制度,工作,198,經濟報酬
工作氛圍,工作,101,人際價值
同事互動,工作,172,人際價值
主管風格,工作,175,人際價值
工作地點,工作,11,組織文化與制度
公司規模,工作,50,組織文化與制度
工作環境,工作,79,組織文化與制度
產業前景,工作,41,組織文化與制度
多元性,工作,6,組織文化與制度
企業社會責任,工作,0,組織文化與制度
企業永續目標,工作,0,組織文化與制度
變化性,工作,51,組織文化與制度
工學院,工作,21,科系專業
理學院,工作,0,科系專業
管理學院/商學院,工作,0,科系專業
社會學院,工作,0,科系專業
文學院,工作,0,科系專業
面試,工作,29,招募資訊
學經歷,工作,14,招募資訊
徵才,工作,24,招募資訊
實習,工作,46,招募資訊
工作,工作,1236,招募資訊
離職,工作,4,招募資訊
新鮮人,工作,7,招募資訊
畢業,工作,4,招募資訊
證照,工作,0,招募資訊
招募人員,工作,13,招募資訊
正向,工作,2270,情緒
負向,工作,1022,情緒
成就感,離職,0,成長價值
學習成長,離職,5,成長價值
創新,離職,1,成長價值
薪資,離職,18,經濟報酬
福利,離職,5,經濟報酬
管理制度,離職,16,經濟報酬
工作氛圍,離職,6,人際價值
同事互動,離職,14,人際價值
主管風格,離職,8,人際價值
工作地點,離職,0,組織文化與制度
公司規模,離職,1,組織文化與制度
工作環境,離職,3,組織文化與制度
產業前景,離職,2,組織文化與制度
多元性,離職,2,組織文化與制度
企業社會責任,離職,0,組織文化與制度
企業永續目標,離職,0,組織文化與制度
變化性,離職,0,組織文化與制度
工學院,離職,0,科系專業
理學院,離職,0,科系專業
管理學院/商學院,離職,0,科系專業
社會學院,離職,0,科系專業
文學院,離職,0,科系專業
面試,離職,1,招募資訊
學經歷,離職,2,招募資訊
徵才,離職,4,招募資訊
實習,離職,2,招募資訊
工作,離職,4,招募資訊
離職,離職,52,招募資訊
新鮮人,離職,1,招募資訊
畢業,離職,3,招募資訊
證照,離職,0,招募資訊
招募人員,離職,1,招募資訊
正向,離職,113,情緒
負向,離職,123,情緒
成就感,新鮮人,0,成長價值
學習成長,新鮮人,11,成長價值
創新,新鮮人,1,成長價值
薪資,新鮮人,43,經濟報酬
福利,新鮮人,13,經濟報酬
管理制度,新鮮人,9,經濟報酬
工作氛圍,新鮮人,5,人際價值
同事互動,新鮮人,6,人際價值
主管風格,新鮮人,6,人際價值
工作地點,新鮮人,0,組織文化與制度
公司規模,新鮮人,6,組織文化與制度
工作環境,新鮮人,4,組織文化與制度
產業前景,新鮮人,2,組織文化與制度
多元性,新鮮人,0,組織文化與制度
企業社會責任,新鮮人,0,組織文化與制度
企業永續目標,新鮮人,0,組織文化與制度
變化性,新鮮人,1,組織文化與制度
工學院,新鮮人,0,科系專業
理學院,新鮮人,0,科系專業
管理學院/商學院,新鮮人,0,科系專業
社會學院,新鮮人,0,科系專業
文學院,新鮮人,0,科系專業
面試,新鮮人,0,招募資訊
學經歷,新鮮人,5,招募資訊
徵才,新鮮人,3,招募資訊
實習,新鮮人,0,招募資訊
工作,新鮮人,7,招募資訊
離職,新鮮人,1,招募資訊
新鮮人,新鮮人,53,招募資訊
畢業,新鮮人,5,招募資訊
證照,新鮮人,0,招募資訊
招募人員,新鮮人,0,招募資訊
正向,新鮮人,126,情緒
負向,新鮮人,72,情緒
成就感,畢業,0,成長價值
學習成長,畢業,7,成長價值
創新,畢業,0,成長價值
薪資,畢業,5,經濟報酬
福利,畢業,1,經濟報酬
管理制度,畢業,6,經濟報酬
工作氛圍,畢業,4,人際價值
同事互動,畢業,5,人際價值
主管風格,畢業,5,人際價值
工作地點,畢業,1,組織文化與制度
公司規模,畢業,1,組織文化與制度
工作環境,畢業,3,組織文化與制度
產業前景,畢業,0,組織文化與制度
多元性,畢業,1,組織文化與制度
企業社會責任,畢業,0,組織文化與制度
企業永續目標,畢業,0,組織文化與制度
變化性,畢業,2,組織文化與制度
工學院,畢業,0,科系專業
理學院,畢業,0,科系專業
管理學院/商學院,畢業,0,科系專業
社會學院,畢業,0,科系專業
文學院,畢業,0,科系專業
面試,畢業,2,招募資訊
學經歷,畢業,6,招募資訊
徵才,畢業,0,招募資訊
實習,畢業,0,招募資訊
工作,畢業,4,招募資訊
離職,畢業,3,招募資訊
新鮮人,畢業,5,招募資訊
畢業,畢業,28,招募資訊
證照,畢業,0,招募資訊
招募人員,畢業,0,招募資訊
正向,畢業,66,情緒
負向,畢業,38,情緒
成就感,證照,0,成長價值
學習成長,證照,0,成長價值
創新,證照,0,成長價值
薪資,證照,0,經濟報酬
福利,證照,0,經濟報酬
管理制度,證照,0,經濟報酬
工作氛圍,證照,0,人際價值
同事互動,證照,0,人際價值
主管風格,證照,0,人際價值
工作地點,證照,0,組織文化與制度
公司規模,證照,0,組織文化與制度
工作環境,證照,0,組織文化與制度
產業前景,證照,0,組織文化與制度
多元性,證照,0,組織文化與制度
企業社會責任,證照,0,組織文化與制度
企業永續目標,證照,0,組織文化與制度
變化性,證照,0,組織文化與制度
工學院,證照,0,科系專業
理學院,證照,0,科系專業
管理學院/商學院,證照,0,科系專業
社會學院,證照,0,科系專業
文學院,證照,0,科系專業
面試,證照,0,招募資訊
學經歷,證照,0,招募資訊
徵才,證照,0,招募資訊
實習,證照,0,招募資訊
工作,證照,0,招募資訊
離職,證照,0,招募資訊
新鮮人,證照,0,招募資訊
畢業,證照,0,招募資訊
證照,證照,0,招募資訊
招募人員,證照,0,招募資訊
正向,證照,0,情緒
負向,證照,0,情緒
成就感,招募人員,0,成長價值
學習成長,招募人員,1,成長價值
創新,招募人員,0,成長價值
薪資,招募人員,19,經濟報酬
福利,招募人員,11,經濟報酬
管理制度,招募人員,9,經濟報酬
工作氛圍,招募人員,0,人際價值
同事互動,招募人員,3,人際價值
主管風格,招募人員,11,人際價值
工作地點,招募人員,0,組織文化與制度
公司規模,招募人員,0,組織文化與制度
工作環境,招募人員,0,組織文化與制度
產業前景,招募人員,0,組織文化與制度
多元性,招募人員,0,組織文化與制度
企業社會責任,招募人員,0,組織文化與制度
企業永續目標,招募人員,0,組織文化與制度
變化性,招募人員,1,組織文化與制度
工學院,招募人員,0,科系專業
理學院,招募人員,0,科系專業
管理學院/商學院,招募人員,1,科系專業
社會學院,招募人員,0,科系專業
文學院,招募人員,0,科系專業
面試,招募人員,7,招募資訊
學經歷,招募人員,0,招募資訊
徵才,招募人員,1,招募資訊
實習,招募人員,2,招募資訊
工作,招募人員,13,招募資訊
離職,招募人員,1,招募資訊
新鮮人,招募人員,0,招募資訊
畢業,招募人員,0,招募資訊
證照,招募人員,0,招募資訊
招募人員,招募人員,32,招募資訊
正向,招募人員,90,情緒
負向,招募人員,52,情緒
成就感,正向,52,成長價值
學習成長,正向,812,成長價值
創新,正向,38,成長價值
薪資,正向,1980,經濟報酬
福利,正向,1780,經濟報酬
管理制度,正向,1515,經濟報酬
工作氛圍,正向,564,人際價值
同事互動,正向,1234,人際價值
主管風格,正向,1320,人際價值
工作地點,正向,160,組織文化與制度
公司規模,正向,405,組織文化與制度
工作環境,正向,689,組織文化與制度
產業前景,正向,232,組織文化與制度
多元性,正向,50,組織文化與制度
企業社會責任,正向,0,組織文化與制度
企業永續目標,正向,0,組織文化與制度
變化性,正向,256,組織文化與制度
工學院,正向,220,科系專業
理學院,正向,0,科系專業
管理學院/商學院,正向,0,科系專業
社會學院,正向,0,科系專業
文學院,正向,0,科系專業
面試,正向,182,招募資訊
學經歷,正向,176,招募資訊
徵才,正向,159,招募資訊
實習,正向,292,招募資訊
工作,正向,2270,招募資訊
離職,正向,113,招募資訊
新鮮人,正向,126,招募資訊
畢業,正向,66,招募資訊
證照,正向,0,招募資訊
招募人員,正向,90,招募資訊
正向,正向,24331,情緒
負向,正向,7854,情緒
成就感,負向,29,成長價值
學習成長,負向,317,成長價值
創新,負向,13,成長價值
薪資,負向,985,經濟報酬
福利,負向,519,經濟報酬
管理制度,負向,741,經濟報酬
工作氛圍,負向,394,人際價值
同事互動,負向,412,人際價值
主管風格,負向,667,人際價值
工作地點,負向,78,組織文化與制度
公司規模,負向,144,組織文化與制度
工作環境,負向,262,組織文化與制度
產業前景,負向,123,組織文化與制度
多元性,負向,32,組織文化與制度
企業社會責任,負向,0,組織文化與制度
企業永續目標,負向,0,組織文化與制度
變化性,負向,144,組織文化與制度
工學院,負向,117,科系專業
理學院,負向,0,科系專業
管理學院/商學院,負向,0,科系專業
社會學院,負向,0,科系專業
文學院,負向,0,科系專業
面試,負向,84,招募資訊
學經歷,負向,92,招募資訊
徵才,負向,77,招募資訊
實習,負向,102,招募資訊
工作,負向,1022,招募資訊
離職,負向,123,招募資訊
新鮮人,負向,72,招募資訊
畢業,負向,38,招募資訊
證照,負向,0,招募資訊
招募人員,負向,52,招募資訊
正向,負向,7854,情緒
負向,負向,8172,情緒
